id,price_category,make,year,mileage,power,car_type,color,fuel_type,transmission,n_doors,n_cylinders,displacement,dry_weight,acceleration,top_speed,n_seats,emission,emission_label,flg_missing_power,flg_missing_car_type,flg_missing_color,flg_missing_fuel_type,flg_missing_transmission,flg_missing_n_doors,flg_missing_n_cylinders,flg_missing_displacement,flg_missing_dry_weight,flg_missing_acceleration,flg_missing_top_speed,flg_missing_n_seats,flg_missing_emission,flg_missing_emission_label
6330,1 (< 1K),toyota,2011,192226,99,hatchback,zwart,0,"1 versnellingen, Continu variabele transmissie",4,4,1798,1345,10.4,180,5,256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6331,3 (2K-5K),ford,2000,122053,101,hatchback,groen,benzine,Handgeschakeld,4,4,1596,1052,11.2,185,5,69,Euro2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6332,6 (> 15K),land,2013,137996,510,0,grijs,benzine,Automaat,0,8,5000,2302,5,250,5,199,Euro5,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6334,4 (5K-10K),skoda,2011,126655,60,hatchback,grijs,benzine,Handgeschakeld,5,3,1198,990,16.5,155,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6335,2 (1K-2K),seat,2003,214585,105,hatchback,zwart,benzine,Handgeschakeld,5,4,1597,1172,11,192,5,72,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6336,1 (< 1K),peugeot,1999,0,88,hatchback,zwart,benzine,Handgeschakeld,3,4,1587,1000,0,0,0,85,Euro2,0,0,0,0,0,0,0,0,0,1,1,1,0,0
6337,2 (1K-2K),mitsubishi,2002,186139,98,mpv,grijs,benzine,Handgeschakeld,5,4,1584,1135,12,180,5,75,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6338,5 (10K-15K),mazda,2014,211596,150,terreinwagen,wit,diesel,Handgeschakeld,5,4,2184,1395,9.2,202,5,23,Euro6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6339,6 (> 15K),volkswagen,2013,118395,177,sedan,zwart,diesel,Automaat,4,4,1968,1482,8.6,220,4,41,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6340,4 (5K-10K),renault,2013,10000,18,coupe,beige,0,Automaat,2,0,0,375,0,80,2,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1
6341,3 (2K-5K),mazda,2004,122746,192,coupe,grijs,benzine,Handgeschakeld,4,0,1308,1290,7.2,223,4,170,Euro4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6342,3 (2K-5K),fiat,2007,167132,90,hatchback,grijs,benzine,Handgeschakeld,5,4,1368,1180,12.5,179,5,62,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6343,3 (2K-5K),volvo,2006,329203,185,0,grijs,diesel,Automaat,0,5,2401,1694,10,205,5,128,Euro4,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6346,2 (1K-2K),volvo,2004,321121,116,sedan,zwart,diesel,Handgeschakeld,4,4,1870,1270,10.5,195,5,46,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6347,2 (1K-2K),opel,2002,235879,84,hatchback,blauw,benzine,Handgeschakeld,3,4,1598,1063,13,180,5,75,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6348,4 (5K-10K),audi,2011,221000,140,stationwagon,blauw,diesel,Handgeschakeld,5,4,1968,1360,0,0,5,19,Euro5,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6349,4 (5K-10K),volkswagen,2013,65111,60,hatchback,wit,benzine,Handgeschakeld,5,3,999,840,14.4,161,4,262,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6350,2 (1K-2K),volkswagen,2004,271158,131,stationwagon,zwart,benzine,Handgeschakeld,5,4,1984,1376,10,204,5,103,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6351,1 (< 1K),mercedes-benz,2002,361608,163,0,blauw,diesel,Automaat,0,5,2685,2100,11.4,183,5,153,Euro3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6352,1 (< 1K),citroen,1998,151867,54,hatchback,blauw,benzine,Handgeschakeld,4,4,1124,800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
6353,1 (< 1K),renault,2001,147764,107,hatchback,rood,benzine,Handgeschakeld,5,4,1598,1245,11.5,195,5,77,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6354,4 (5K-10K),seat,2011,150123,86,stationwagon,zwart,benzine,Handgeschakeld,5,4,1390,1030,12,177,5,43,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6356,1 (< 1K),mercedes-benz,1999,326842,102,sedan,groen,diesel,Handgeschakeld,4,4,2151,1310,13.4,185,5,65,Euro2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6357,6 (> 15K),land,2013,101107,340,0,zwart,diesel,Automaat,0,8,4367,2422,69,218,5,133,Euro5,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6358,2 (1K-2K),ford,2001,166954,126,sedan,rood,benzine,Handgeschakeld,4,4,1798,0,99.9,0,5,1,Euro3,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6359,4 (5K-10K),toyota,2015,16185,69,hatchback,zwart,benzine,5 versnellingen,4,3,998,830,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
6360,2 (1K-2K),suzuki,2001,154101,76,hatchback,groen,benzine,Handgeschakeld,5,4,1298,885,12.5,155,4,49,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6362,6 (> 15K),chevrolet,2000,220000,0,0,bruin,lpg g3,Automaat,4,8,5700,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
6363,1 (< 1K),renault,2001,219859,107,mpv,rood,benzine,Handgeschakeld,5,4,1598,1225,0,0,5,77,Euro3,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6364,4 (5K-10K),chrysler,2008,148515,0,0,zwart,benzine,Handgeschakeld,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1
